Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2237405	4821037.0	4821037.0	4814719.0	4814719.0	4813516.0	4813516.0	3984161.0	3984161.0	256132.0	132478.0
SRR2227844	267155.0	267155.0	266957.0	266957.0	155561.0	155561.0	71014.0	71014.0	8997.0	3716.0
SRR2237763	4901480.0	4901480.0	4896773.0	4896773.0	4895524.0	4895524.0	4035061.0	4035061.0	266288.0	138519.0
SRR2236876	5005894.0	5005894.0	4999233.0	4999233.0	4998000.0	4998000.0	4059697.0	4059697.0	291750.0	148418.0
SRR2237224	4895541.0	4895541.0	4889921.0	4889921.0	4888764.0	4888764.0	4043498.0	4043498.0	256158.0	137754.0
SRR2243589	710097.0	710097.0	709310.0	709310.0	596292.0	596292.0	443574.0	443574.0	29030.0	16189.0
SRR2245580	699665.0	699665.0	698837.0	698837.0	586188.0	586188.0	437879.0	437879.0	28907.0	15322.0
SRR2246272	5013805.0	5013805.0	5007144.0	5007144.0	5006244.0	5006244.0	4085749.0	4085749.0	284883.0	154361.0
SRR2246093	4879516.0	4879516.0	4874738.0	4874738.0	4873929.0	4873929.0	4039919.0	4039919.0	257095.0	143422.0
SRR2243985	4801743.0	4801743.0	4795351.0	4795351.0	4794446.0	4794446.0	3990313.0	3990313.0	248818.0	137340.0
SRR2237798	5550101.0	5550101.0	5544350.0	5544350.0	5541934.0	5541934.0	4564270.0	4564270.0	309017.0	170067.0
SRR2237602	5548258.0	5548258.0	5543465.0	5543465.0	5541044.0	5541044.0	4543815.0	4543815.0	320885.0	170316.0
SRR2237332	5462737.0	5462737.0	5456452.0	5456452.0	5453796.0	5453796.0	4494805.0	4494805.0	309061.0	162747.0
SRR2236748	5620834.0	5620834.0	5614251.0	5614251.0	5611750.0	5611750.0	4527352.0	4527352.0	346891.0	180613.0
SRR2237819	4971331.0	4971331.0	4966210.0	4966210.0	4965216.0	4965216.0	4061771.0	4061771.0	256978.0	143821.0
SRR2237564	4880121.0	4880121.0	4873080.0	4873080.0	4872063.0	4872063.0	3999738.0	3999738.0	247661.0	136975.0
SRR2237573	5046369.0	5046369.0	5038789.0	5038789.0	5037774.0	5037774.0	4060249.0	4060249.0	281574.0	153069.0
SRR2237414	4958091.0	4958091.0	4951908.0	4951908.0	4950926.0	4950926.0	4060223.0	4060223.0	246788.0	142654.0
SRR2236839	1933224.0	1933224.0	1930524.0	1930524.0	1845024.0	1845024.0	1529470.0	1529470.0	88993.0	49737.0
SRR2236705	1970206.0	1970206.0	1968187.0	1968187.0	1883063.0	1883063.0	1555012.0	1555012.0	91925.0	52829.0
SRR2237766	1963017.0	1963017.0	1960522.0	1960522.0	1875231.0	1875231.0	1553597.0	1553597.0	88032.0	52357.0
SRR2237493	2010746.0	2010746.0	2007940.0	2007940.0	1919802.0	1919802.0	1559925.0	1559925.0	101010.0	55831.0
SRR2237727	5229893.0	5229893.0	5224799.0	5224799.0	5223206.0	5223206.0	4139751.0	4139751.0	265762.0	150490.0
SRR2236667	5247042.0	5247042.0	5242872.0	5242872.0	5241256.0	5241256.0	4149794.0	4149794.0	278924.0	151165.0
SRR2236520	5392445.0	5392445.0	5386281.0	5386281.0	5384669.0	5384669.0	4208672.0	4208672.0	308001.0	162323.0
SRR2236780	5206178.0	5206178.0	5200343.0	5200343.0	5198739.0	5198739.0	4126071.0	4126071.0	270878.0	145634.0
